nct_id,title,phase,status,why_stopped,start_date,completion_date,sponsor
NCT04403685,Safety and Efficacy of Tocilizumab in Moderate to Severe COVID-19 With Inflammatory Markers,PHASE3,TERMINATED,Safety,2020-05-08,2020-07-21,Beneficência Portuguesa de São Paulo
NCT04023721,"Evaluating the Safety and Efficacy of Inarigivir in Non-cirrhotic, Hepatitis B e Antigen-negative Subjects Infected With HBV Virus and Receiving or Stopping Treatment With a NUC Inhibitor",PHASE2,TERMINATED,Safety,2019-06-18,2020-07-16,"F-star Therapeutics, Inc."
NCT03797261,A Study of Venetoclax and AMG 176 in Patients With Relapsed/Refractory Hematologic Malignancies,PHASE1,TERMINATED,Safety,2019-03-18,2019-12-30,AbbVie
NCT03774745,Blocking Mifepristone Action With Progesterone,PHASE1/PHASE2,TERMINATED,Safety,2019-02-11,2019-08-15,"University of California, Davis"
NCT03509584,"Phase I Multicenter Trial Combining Nivolumab, Ipilimumab and Hypo-fractionated Radiotherapy for Pretreated Advanced Stage Non-small Cell Lung Cancer Patients",PHASE1,TERMINATED,SAFETY,2018-06-07,2019-07-02,Assistance Publique Hopitaux De Marseille
NCT03832517,Single and Multiple Dose Escalation Trial of an Intravenous Antibiotic RC-01,PHASE1,TERMINATED,safety,2019-04-14,2019-05-08,"Recida Therapeutics, Inc."
NCT03145909,"A Study Evaluating the Safety, Pharmacokinetics and Anti-Tumor Activity of ABBV-176 in Subjects With Advanced Solid Tumors Likely to Express Prolactin Receptor (PRLR)",PHASE1,TERMINATED,Safety,2017-07-03,2018-11-27,AbbVie
NCT02910882,"PEGPH20 Plus Gemcitabine With Radiotherapy in Patients With Localized, Unresectable Pancreatic Cancer",PHASE2,TERMINATED,Safety,2017-01-03,2018-08-31,Scripps Health
NCT03125200,Study of ADCT-502 in Patients With Advanced Solid Tumors Withhuman Epidermal Growth Factor Receptor-2 (HER2) Expression,PHASE1,TERMINATED,Safety,2017-05-18,2018-04-05,ADC Therapeutics S.A.
NCT02365662,A Study Evaluating Safety and Pharmacokinetics of ABBV-221 in Subjects With Advanced Solid Tumor Types Likely to Exhibit Elevated Levels of Epidermal Growth Factor Receptor,PHASE1,TERMINATED,Safety,2015-01-09,2018-03-15,AbbVie
NCT03023527,Nivolumab Role in the Treatment of Patients With Refractory or Relapse Multiple Myeloma,PHASE1,TERMINATED,Safety,2017-01-31,2018-01-31,PETHEMA Foundation
NCT02055690,PAZOFOS: Phase Ib and Phase II Trial of Pazopanib +/- Fosbretabulin in Advanced Recurrent Ovarian Cancer,PHASE1/PHASE2,TERMINATED,Safety,2014-09-30,2017-11-24,The Christie NHS Foundation Trust
NCT02635074,"Ibrutinib, Idarubicin and Cytarabine in Treating Patients With Relapsed or Refractory Acute Myeloid Leukemia",PHASE1,TERMINATED,safety,2016-11-30,2017-11-10,Steven E. Coutre
NCT02593708,"Phase1 of Neratinib+Trastuzumab, Pertuzumab, Paclitaxel in Patients With Advanced Solid Tumors/HER2+",PHASE1,TERMINATED,toxicity,2015-11-03,2017-07-31,Michelle Melisko
NCT01940796,Phase I Trial of Brentuximab Vedotin for Refractory Chronic Graft-vs.-Host Disease (GVHD),PHASE1,TERMINATED,Toxicity,2013-10-31,2016-12-31,Massachusetts General Hospital
NCT01751724,Caffeine to Reduce Mechanical Ventilation in Preterm Infants,NA,TERMINATED,Safety,2012-12-31,2016-01-31,University of Miami
NCT00582816,Haploidentical Transplant With NK Cell Infusion for Pediatric Acute Leukemia and Solid Tumors,PHASE1/PHASE2,TERMINATED,toxicity,2008-08-31,2015-08-31,"University of Wisconsin, Madison"
NCT01483690,A Pilot Study of Decitabine and Vorinostat With Chemotherapy for Relapsed ALL,PHASE1/PHASE2,TERMINATED,Toxicity,2011-12-31,2015-07-31,Therapeutic Advances in Childhood Leukemia Consortium
NCT01050764,Haploidentical Allogeneic Transplant With Post-transplant Infusion of Regulatory T-cells,PHASE1/PHASE2,TERMINATED,Safety,2009-06-30,2014-06-30,Everett Meyer
NCT00671801,Irinotecan Plus Lenalidomide in Adult Patients With Recurrent Glioblastoma Multiforme: Phase I,PHASE1,TERMINATED,Toxicity,2008-04-29,2014-02-28,M.D. Anderson Cancer Center
NCT01530399,Phase II Study to Compare MDCO-2010 vs Placebo and Tranexamic Acid in Patients Undergoing Cardiac Surgery,PHASE2,TERMINATED,Safety,2012-03-31,2012-11-30,The Medicines Company
NCT01329627,Feasibility Study of Metronomic Chemotherapy for Locally Advanced HER2-Negative Breast Cancer,PHASE2,TERMINATED,Toxicity,2010-08-31,2012-08-31,Instituto do Cancer do Estado de São Paulo
NCT01009346,RAD001 in Combination With Cetuximab and Cisplatin in Recurrent and Metastatic SCCHN,PHASE1/PHASE2,TERMINATED,Toxicity,2009-10-31,2011-03-31,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins
NCT00323362,Gemcitabine and Imatinib Mesylate in Treating Patients With Recurrent or Metastatic Non-Small Cell Lung Cancer,PHASE2,TERMINATED,Toxicity,2006-04-30,2008-10-31,"Rutgers, The State University of New Jersey"
NCT00142168,CC-5013 (Lenalidomide) and Rituximab in Waldenstrom's Macroglobulinemia,PHASE2,TERMINATED,Toxicity,2004-09-30,2008-04-30,Dana-Farber Cancer Institute
NCT00161239,LAMPP Trial for Peripheral and Cutaneous T-Cell Lymphoma,NA,TERMINATED,toxicity,2005-02-28,2007-10-31,University of Medicine and Dentistry of New Jersey
NCT00187005,Total Therapy Study XIV for Newly Diagnosed Patients With Acute Lymphoblastic Leukemia,PHASE3,TERMINATED,Toxicity,1998-07-31,2002-07-31,St. Jude Children's Research Hospital
NCT00544908,Dasatinib in Treating Patients With Stage IV Pancreatic Cancer,PHASE2,TERMINATED,Toxicity,2007-09-30,,City of Hope Medical Center
